sex,major_field,minor_field,discipline
female,nonscience,Non-S&E Managers,STEM
male,"comp sci, math, engineer",Computer and information scientists,STEM
female,"comp sci, math, engineer",Computer and information scientists,STEM
male,nonscience,Non-S&E Managers,STEM
male,other science,"Chemists, except biochemists",STEM
female,other science,Psychologists,Social Sciences
male,nonscience,Other non-S&E occupations,Other
female,nonscience,Other non-S&E occupations,Other
female,nonscience,Other non-S&E occupations,Other
female,nonscience,Other non-S&E occupations,Other
female,nonscience,Sales and marketing occupations,Other
male,nonscience,Other non-S&E occupations,Other
male,nonscience,Sales and marketing occupations,Other
female,nonscience,Other non-S&E occupations,Other
male,nonscience,Management-related occupations,Other
female,nonscience,Other non-S&E occupations,Other
male,nonscience,Management-related occupations,Other
female,"comp sci, math, engineer",Industrial engineers,STEM
male,"comp sci, math, engineer",Computer and information scientists,STEM
female,nonscience,Other non-S&E occupations,Other
male,other science,Environmental life scientists,STEM
male,nonscience,Management-related occupations,Other
male,nonscience,Other non-S&E occupations,Other
female,nonscience,Non-S&E Managers,STEM
male,"comp sci, math, engineer",Electrical or computer hardware engineers,STEM
female,nonscience,Sales and marketing occupations,Other
male,other science,Psychologists,Social Sciences
male,nonscience,Sales and marketing occupations,Other
male,other science,Postsecondary teachers - physical and related sciences,STEM
male,nonscience,Non-S&E Managers,STEM
male,nonscience,Other non-S&E occupations,Other
male,nonscience,Management-related occupations,Other
male,nonscience,Non-S&E postsecondary teachers,Other
male,"comp sci, math, engineer",Computer and information scientists,STEM
female,nonscience,Non-S&E precollege teachers,Social Sciences
male,"comp sci, math, engineer",Postsecondary teachers - engineering,STEM
female,nonscience,Non-S&E Managers,STEM
male,nonscience,Non-S&E Managers,STEM
male,nonscience,Other non-S&E occupations,Other
female,nonscience,Non-S&E precollege teachers,Social Sciences
female,other science,Biological and medical scientists,STEM
male,nonscience,Other non-S&E occupations,Other
female,other science,"Chemists, except biochemists",STEM
male,nonscience,Non-S&E Managers,STEM
female,nonscience,Non-S&E precollege teachers,Social Sciences
male,"comp sci, math, engineer",Mechanical engineers,STEM
male,nonscience,Sales and marketing occupations,Other
male,"comp sci, math, engineer",Computer and information scientists,STEM
male,other science,Postsecondary teachers - life and related sciences,STEM
male,"comp sci, math, engineer",Mechanical engineers,STEM
female,nonscience,Management-related occupations,Other
female,nonscience,Other non-S&E occupations,Other
male,nonscience,Non-S&E Managers,STEM
female,nonscience,Sales and marketing occupations,Other
male,nonscience,Other non-S&E occupations,Other
male,nonscience,Non-S&E Managers,STEM
female,other science,Psychologists,Social Sciences
female,nonscience,Non-S&E postsecondary teachers,Other
male,nonscience,Management-related occupations,Other
male,other science,"Chemists, except biochemists",STEM
male,"comp sci, math, engineer",Computer and information scientists,STEM
female,nonscience,Other non-S&E occupations,Other
male,other science,Biological and medical scientists,STEM
female,nonscience,Other non-S&E occupations,Other
male,nonscience,Management-related occupations,Other
female,nonscience,Sales and marketing occupations,Other
female,nonscience,Non-S&E Managers,STEM
female,nonscience,Other non-S&E occupations,Other
female,nonscience,Management-related occupations,Other
female,other science,"Chemists, except biochemists",STEM
male,nonscience,Management-related occupations,Other
female,nonscience,Other non-S&E occupations,Other
female,nonscience,Non-S&E Managers,STEM
male,other science,Biological and medical scientists,STEM
male,"comp sci, math, engineer",Computer and information scientists,STEM
