school_name,dept_area_code,category,reading,course_id,gender.instructor,gender.first.author,gender.instructor2,gender.last.author,gender.other.author,gender.other.2,gender.instructor3,gender.instructor4,gender.other.3,gender.other.4,gender.other.5,gender.other.6,gender.other.7,gender.other.8,gender.other.9,gender.other.10,gender.other.11,gender.other.67,gender.other.12,gender.other.13,gender.other.14,gender.other.15,gender.other.16,gender.other.17,gender.other.18,gender.other.19,gender.other.20,gender.other.21,gender.other.22,gender.other.23,gender.other.24,gender.other.25,gender.other.26,gender.other.27,gender.other.28,gender.other.29,gender.instructor5,gender.instructor6,gender.instructor7,gender.other.30,gender.other.31,gender.other.32,gender.other.33,gender.other.34,gender.other.35,gender.other.36,gender.other.37,gender.other.38,gender.other.39,gender.other.40,gender.other.41,gender.other.42,gender.other.43,gender.other.44,gender.other.45,gender.other.46,gender.other.47,gender.other.48,gender.other.49,gender.other.50,gender.other.51,gender.other.52,gender.other.53,gender.other.54,gender.other.55,gender.other.56,gender.other.57,gender.other.58,gender.other.59,gender.other.60,gender.other.61,gender.other.62,gender.other.63,gender.first.last.author,femPercAuth,femSumAuth,maleSumAuth,hasUnkAuth,hasNonBiAuth,se_cur_enr,syllabi_central,division,reading_type_clean
5,DA,Other,"Tufte, Edward. Envisioning Information. Cheshire, CT: Graphics Press, 1990",DA-001,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,12,no,upper/grad,book
5,DA,Other,"LeWitt, Sol. Sol LeWitt Wall Drawings, 1984-1992. Kunsthalle Bern, 1992",DA-001,male,female,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author female,1,1,0,No,No,12,no,upper/grad,book
5,DA,Other,"Lewis, Paul; Tsurumaki, Marc; Lewis, David. Manual of Section. NewYork: Princeton Architectural Press, 2016",DA-001,male,male,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,first and last author male,0,0,3,No,No,12,no,upper/grad,book
5,DA,Other,"Monge, Gaspard. G_om_trie descriptive. Augm. d'une Th_orie des ombres et de la perspective, extraite des papiers de l'auteur, par M. Brisson. Bruxelles, H. Remy, 1834",DA-001,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,12,no,upper/grad,book
5,DA,Other,"Yee, Rendow. Architectural Drawing: A Visual Compendium of Types and Methods. New Jersey: John Wiley & Sons, 2013",DA-001,male,unknown,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,first author and last author unknown,NaN,NaN,NaN,Yes,No,12,no,upper/grad,book
5,DA,Other,"Pallasmaa, Juhani. The Thinking Hand: Existential and Embodied Wisdom in Architecture. West Sussex, United Kingdom: John Wiley & Sons, 2009",DA-001,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,12,no,upper/grad,book
5,DA,Other,"Ching, Francis D.K. Architectural Graphics. New Jersey: John Wiley & Sons, 2015",DA-001,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,12,no,upper/grad,book
5,DA,Other,"Uddin, M. Saleh. Hybrid Drawing Techniques by Contemporary Architects and Designers. New York: John Wiley & Sons, 1999",DA-001,male,male,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,12,no,upper/grad,book
5,DA,Other,"Le Witt, Sol. Twenty-five Years of Wall Drawings, 1968-1993. Seattle : University of Washington Press,
1993",DA-001,male,female,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author female,1,1,0,No,No,12,no,upper/grad,book
5,DA,Other,No reading,DA-005,female,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no author,NaN,NaN,NaN,No,No,5,yes,upper/grad,NA
5,DA,Other,Complexity and Contradiction in Architecture.,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,Delirious New York,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,The Mathematics of the Ideal Villa and Other Essays,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,"Education of an Architect: A Point of View Stan Allen, Practice, Architecture, Technique and Representation",DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,"Exodus / or the voluntary prisoners of architecture,",DA-014,male,male,female,female,female,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,first author male and last author female,0.5,2,2,No,No,11,no,upper/grad,other
5,DA,Other,El Bully Methodology,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,other
5,DA,Other,Ornament and Crime: Selected Essays,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,"Scientific Autobiography,",DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,Made in Tokyo.,DA-014,male,male,female,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,first author male and last author female,0.5,1,1,No,No,11,no,upper/grad,book
5,DA,Other,The Hidden Core of Architecture,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,other
5,DA,Other,Ten Canonical Buildings,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,The Function of Form,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,"S, M, L, XL",DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,Animate Form,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
5,DA,Other,Architectural Principles in the Age of Humanism,DA-014,male,male,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sole author male,0,0,1,No,No,11,no,upper/grad,book
